ID,Loomian,Type 1,Type 2,HP,Energy,Melee ATK,Melee DEF,Ranged ATK,Ranged DEF,Speed,Total,Regular 1,Regular 2,Secret,Height,Weight,,
1,Embit,Fire,,57,51,60,67,36,50,40,361,Awakening,,Terrifying,83.82 cm,20.41 kg,83.82,20.41
2,Rabburn,Fire,,61,67,75,95,46,68,60,472,Awakening,,Terrifying,149.86 cm,39.46 kg,149.86,39.46
3,Searknight,Fire,Metal,88,88,102,125,60,82,65,610,Awakening,,Terrifying,208.28 cm,98.43 kg,208.28,98.43
4,Dripple,Water,,63,51,56,50,55,45,41,361,Awakening,,Power Napper,76.2 cm,17.24 kg,76.2,17.24
5,Reptide,Water,,78,67,71,70,70,65,51,472,Awakening,,Power Napper,106.68 cm,33.57 kg,106.68,33.57
6,Luminami,Water,Light,102,88,90,93,94,83,60,610,Awakening,,Power Napper,160.02 cm,91.63 kg,160.02,91.63
7,Fevine,Plant,,45,51,71,44,50,36,64,361,Awakening,,Thriving Pace,71.12 cm,15.88 kg,71.12,15.88
8,Felver,Plant,,55,67,96,55,70,45,84,472,Awakening,,Thriving Pace,116.84 cm,37.19 kg,116.84,37.19
9,Tahtab,Plant,Brawler,72,88,126,75,80,65,104,610,Awakening,,Thriving Pace,162.56 cm,74.84 kg,162.56,74.84
10,Eaglit,Light,,45,51,36,36,71,62,60,361,Awakening,,Applied Frustration,73.66 cm,17.24 kg,73.66,17.24
11,Torprey,Light,,57,67,64,40,91,63,90,472,Awakening,,Applied Frustration,132.08 cm,25.85 kg,132.08,25.85
12,Falkyrie,Light,Metal,84,88,80,71,125,87,75,610,Awakening,,Applied Frustration,195.58 cm,80.74 kg,195.58,80.74
13,Vambat,Dark,,47,51,47,50,47,50,69,361,Awakening,,Sharp Claws,66.04 cm,8.16 kg,66.04,8.16
14,Dimpire,Dark,,60,67,65,75,60,60,85,472,Awakening,,Sharp Claws,154.94 cm,30.39 kg,154.94,30.39
15,Vesperatu,Dark,Spirit,76,88,110,90,82,65,99,610,Awakening,,Sharp Claws,203.2 cm,65.77 kg,203.2,65.77
16,Snocub,Ice,,55,51,45,38,67,60,45,361,Awakening,,Staunch,48.26 cm,6.35 kg,48.26,6.35
17,Snowki,Ice,,65,67,75,65,75,65,60,472,Awakening,,Staunch,144.78 cm,35.38 kg,144.78,35.38
18,Himbrr,Ice,Earth,124,88,98,115,65,75,45,610,Awakening,,Staunch,233.68 cm,108.86 kg,233.68,108.86
19,Weevolt,Electric,,51,51,36,36,67,55,65,361,Awakening,,Brute Force,68.58 cm,14.06 kg,68.58,14.06
20,Stozap,Electric,,71,67,56,41,88,60,89,472,Awakening,,Brute Force,124.46 cm,33.57 kg,124.46,33.57
21,Zuelong,Electric,Ancient,78,88,89,56,106,74,119,610,Awakening,,Brute Force,220.98 cm,59.87 kg,220.98,59.87
22,Twilat,Typeless,,50,41,42,38,42,38,40,291,Confidence,Territorial,Neutralize,35.56 cm,10.89 kg,35.56,10.89
23,Umbrat,Dark,,75,75,96,79,51,78,71,525,Confidence,Dusk,Overshadow,99.06 cm,38.1 kg,99.06,38.1
24,Luxoar,Light,,75,75,51,68,96,69,91,525,Confidence,Dawn,Illuminate,99.06 cm,37.19 kg,99.06,37.19
